Feature,Mean_Importance_Percent,SD_Importance_Percent,Min_Importance_Percent,Max_Importance_Percent,Mean_Rank
junction_common,20.682179540648285,0.11827464072183558,20.552737769927436,20.848149287086716,1.0
vehicle_count,16.502467106579864,0.30308832352372717,15.991446020093294,16.734768411062774,2.0
weather_common,13.102962945806803,0.39258544850795835,12.777432509785633,13.738732908777271,3.0
has_motorcycle,11.551300691874355,0.44031527074964466,10.790141232420055,11.878809751807609,4.0
hour,8.543671836514289,0.13055301326065713,8.376430090865375,8.725670409330139,5.0
has_two_wheeler,8.063983865299779,0.18902554093829016,7.79808810451656,8.295314623544883,6.0
light_common,6.755767680547261,0.2025381768341415,6.54851700344854,7.011441734428356,7.0
day_common,5.296656781207793,0.16619098590668566,5.082172588309706,5.443989226135069,8.4
surface_common,5.224200625336482,0.33277948575759436,4.929340735464631,5.599268694729909,8.6
has_heavy_vehicle,3.659461819758134,0.2896694048942988,3.308581277720732,3.9752463683796035,10.0
has_public_transport,0.6173471064269588,0.06441223946261485,0.5342236452219276,0.7144104998499123,11.0
