Scenario,Feature,Sensitivity_Priority_Score,Sensitivity_Rank
CrossCountry_Emphasis,Vehicle_movement,49.216870946026724,22
CrossCountry_Emphasis,Drivers_gender,45.50909650202426,23
CrossCountry_Emphasis,Number_of_casualties,44.17583271342528,24
Equal_Weights,junction_common,99.6503339274952,1
Equal_Weights,vehicle_count,80.78180143634658,2
Equal_Weights,surface_common,80.76376069660085,3
Equal_Weights,Area_accident_occured,71.72745435846726,8
Equal_Weights,light_common,79.52952628998129,4
Equal_Weights,weather_common,76.01559698860078,5
Equal_Weights,has_motorcycle,72.84986175851478,6
Equal_Weights,has_two_wheeler,72.35873840251035,7
Equal_Weights,hour,70.36392844795091,9
Equal_Weights,day_common,68.73430867726616,10
Equal_Weights,Driving_experience,62.75302884279108,16
Equal_Weights,Cause_of_accident,63.220632733179414,15
Equal_Weights,Road_surface_type,63.86206455262862,13
Equal_Weights,Road_allignment,63.69417320303094,14
Equal_Weights,has_heavy_vehicle,67.24389324348724,11
Equal_Weights,vehicle_category,57.87397149205389,17
Equal_Weights,Age_band_of_driver,56.29595407500576,18
Equal_Weights,has_public_transport,64.25241573604895,12
Equal_Weights,Type_of_collision,54.894586532611136,19
Equal_Weights,Vehicle_driver_relation,54.60226972464047,20
Equal_Weights,Educational_level,54.582174659609194,21
Equal_Weights,Vehicle_movement,54.038235277796566,22
Equal_Weights,Drivers_gender,49.618219612931554,23
Equal_Weights,Number_of_casualties,44.677919539021104,24
