severity_class,UK_Count,France_Count,UK_Percent,France_Percent
Slight,74881,34744,73.75621768037429,63.865299069887136
Serious,25191,16432,24.81260773208569,30.204771883386638
Fatal,1453,3226,1.4311745875400148,5.929929046726223
