Feature_Group,Importance_Percent,Seed
Accident/Environment,80.54399072345412,11
Driver,19.45600927654588,11
Accident/Environment,79.78374529057903,22
Driver,20.21625470942095,22
Accident/Environment,80.69582768063347,33
Driver,19.304172319366558,33
Accident/Environment,80.50217549732348,44
Driver,19.497824502676508,44
Accident/Environment,81.15709704779617,55
Driver,18.84290295220381,55
