Feature,Mean_Rank,SD_Rank,Best_Rank,Worst_Rank,Mean_Score,SD_Score
junction_common,1.0,0.0,1,1,99.66198946324535,0.08175508834479392
vehicle_count,2.3333333333333335,0.816496580927726,2,4,78.48527927054862,2.7508958676236643
surface_common,3.1666666666666665,0.983192080250175,2,5,75.39671139393711,4.888619142554855
light_common,4.666666666666667,1.0327955589886446,3,6,74.4969688512844,4.512888148672943
weather_common,4.666666666666667,1.2110601416389966,3,6,73.69324600104797,3.339479772786288
Area_accident_occured,6.0,2.0976176963403033,4,9,72.25148061860307,2.343202033871505
has_motorcycle,6.666666666666667,0.5163977794943221,6,7,68.48903991429715,4.10981981222751
has_two_wheeler,7.833333333333333,0.752772652709081,7,9,67.59055852326689,4.495495157945437
hour,9.166666666666666,1.4719601443879744,8,12,66.24532205422739,4.37561463384824
day_common,10.666666666666666,1.632993161855452,10,14,64.14905222560954,4.690786373969982
Driving_experience,12.5,1.9748417658131499,11,16,60.564093084635935,3.623807445649725
Cause_of_accident,12.666666666666666,1.5055453054181622,11,15,60.405756239508236,4.203274917609591
has_heavy_vehicle,13.0,1.7888543819998317,11,15,61.20480591401795,5.491244215756599
Road_surface_type,13.166666666666666,2.228601953392904,9,15,59.95847854968744,5.38828709225942
Road_allignment,14.166666666666666,2.228601953392904,10,16,59.74459337778604,5.423237976706971
has_public_transport,15.5,2.810693864511039,12,18,57.327965372313635,6.248317256642912
vehicle_category,16.666666666666668,0.516397779494322,16,17,55.350643113997144,3.8522053802018945
Age_band_of_driver,17.166666666666668,1.6020819787597222,14,18,54.79052027535037,3.233767266478551
Type_of_collision,19.0,0.0,19,19,51.55680952661507,4.411395766332075
Vehicle_driver_relation,20.166666666666668,0.40824829046386285,20,21,51.27299881370251,4.360210320244121
Educational_level,20.833333333333332,0.40824829046386285,20,21,51.11116445174064,4.532003414117248
Vehicle_movement,22.0,0.0,22,22,50.55886303836124,4.467705337749496
Drivers_gender,23.166666666666668,0.40824829046386263,23,24,46.14304630223302,4.48745692305965
Number_of_casualties,23.833333333333332,0.40824829046386263,23,24,43.54990312289406,4.585079383726695
