Seed,Feature,Mean_Abs_SHAP,Importance_Percent
11,hour,0.08146517818583396,8.524569314763964
11,day_common,0.05195298918787276,5.436394632697388
11,weather_common,0.13129441302362282,13.738732908777271
11,light_common,0.06700495111765237,7.011441734428356
11,surface_common,0.05323848182860687,5.5709094200407545
11,junction_common,0.19641255561545268,20.552737769927436
11,vehicle_count,0.152822500630006,15.991446020093294
11,has_motorcycle,0.1031161511734101,10.790141232420055
11,has_heavy_vehicle,0.03798950325522699,3.9752463683796035
11,has_public_transport,0.005832269634952752,0.6102924939553288
11,has_two_wheeler,0.07452254929090968,7.79808810451656
22,hour,0.08022059419322583,8.60376154759849
22,day_common,0.049993514004751737,5.361868454718224
22,weather_common,0.11946505430981408,12.812780195529136
22,light_common,0.0629810931809651,6.75480296781276
22,surface_common,0.04713736981337238,5.055543329414408
22,junction_common,0.19438601527793317,20.848149287086716
22,vehicle_count,0.1557724508444228,16.70679500979806
22,has_motorcycle,0.10927154033142604,11.71951275611183
22,has_heavy_vehicle,0.03340169776736692,3.5823748971887506
22,has_public_transport,0.004981046721795322,0.5342236452219276
22,has_two_wheeler,0.07477941317685405,8.020187909519708
33,hour,0.07743242198597892,8.376430090865375
33,day_common,0.05032469279543212,5.443989226135069
33,weather_common,0.11811565729821219,12.777432509785633
33,light_common,0.060703626412752426,6.56675420795313
33,surface_common,0.04590557442691712,4.965940947032709
33,junction_common,0.1918593900950491,20.754830175636922
33,vehicle_count,0.15469760212720543,16.734768411062774
33,has_motorcycle,0.10980871318871148,11.878809751807609
33,has_heavy_vehicle,0.032274050668451876,3.4913195563259807
33,has_public_transport,0.006604070552193619,0.7144104998499123
33,has_two_wheeler,0.07668258380586929,8.295314623544883
44,hour,0.08001593640099577,8.725670409330139
44,day_common,0.04660441886164389,5.082172588309706
44,weather_common,0.12102438400590143,13.19760704961968
44,light_common,0.060051055734180965,6.54851700344854
44,surface_common,0.045202923819587106,4.929340735464631
44,junction_common,0.18902633274523348,20.613162232501857
44,vehicle_count,0.15224528397054146,16.602219870856697
44,has_motorcycle,0.10611190633727785,11.57141393140372
44,has_heavy_vehicle,0.03612854155279815,3.9397869991756043
44,has_public_transport,0.005539888794088367,0.6041202027469483
44,has_two_wheeler,0.0750669624965321,8.185988977142483
55,hour,0.07941304794735335,8.487927820013478
55,day_common,0.048266281964190694,5.158859004178579
55,weather_common,0.12151817263504867,12.988262065322298
55,light_common,0.06453134535890435,6.897322489093518
55,surface_common,0.05238675478321807,5.599268694729909
55,junction_common,0.1931267111162663,20.642018238088486
55,vehicle_count,0.15415979660944593,16.477106221088505
55,has_motorcycle,0.11036922428593933,11.796625787628559
55,has_heavy_vehicle,0.030955084587999573,3.308581277720732
55,has_public_transport,0.00583523103896468,0.6236886903606771
55,has_two_wheeler,0.07503829386761442,8.020339711775264
