Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Fatal_Recall,Serious_Recall
Random Forest,0.7272100467865058,0.4214226629114058,0.36440589108684646,0.35763685146261154,0.006872852233676976,0.15144898769352919
XGBoost,0.5813838955922187,0.4232177482188968,0.5330032177514508,0.4071018734548981,0.5085910652920962,0.4702262802699484
CatBoost,0.5548879586308791,0.41530098725177184,0.5305516956531424,0.3902083436344983,0.5670103092783505,0.42695514092894005
