Source,Target,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Fatal_Precision,Fatal_Recall,Fatal_F1,Serious_Precision,Serious_Recall,Serious_F1,Slight_Precision,Slight_Recall,Slight_F1
UK,France,0.392338516966288,0.37687951050560226,0.40575209116706606,0.3346966890023329,0.08990429144797778,0.4513329200247985,0.14994078574738684,0.31606244761106456,0.36714946445959107,0.33969594594594593,0.7246717924577645,0.39877388901680866,0.5144533353136661
UK,Ethiopia,0.6272678557758554,0.36712080452977486,0.3678061690414314,0.34247101798009777,0.02691157624946604,0.20257234726688103,0.04751131221719457,0.223203026481715,0.1791497975708502,0.19876473891072433,0.8512478108581436,0.7216963622865628,0.7811370028123744
France,UK,0.5703225806451613,0.37447468509820087,0.41900092469740075,0.3481787928865527,0.029170782729966878,0.3454920853406745,0.05379916407673347,0.322699818213804,0.21845103409947997,0.26053404033708927,0.7715534543508318,0.6930596546520479,0.7302031742458353
France,Ethiopia,0.6043787797596264,0.3457194855345611,0.34706247969649723,0.31333454663071797,0.025551277563878195,0.2347266881028939,0.046085858585858584,0.1691240242844753,0.09868421052631579,0.12464046021093,0.8424831547553298,0.7077765404602822,0.7692773210953654
Ethiopia,UK,0.5207190347205122,0.3564884577724065,0.3561121178795656,0.3378025770073392,0.012426825510937661,0.08327598072952512,0.02162645218945487,0.2869492620919961,0.4229685205033544,0.34192834106188724,0.7700892857142857,0.5620918524058173,0.6498529377706755
Ethiopia,France,0.47343847652659826,0.36131224891461206,0.35940281879084207,0.3496584680837067,0.04970809007506255,0.09237445753254804,0.06463507211799153,0.3434303869086478,0.4802215189873418,0.40046689842421784,0.6907982697601258,0.5056124798526365,0.5838734337089109
